Producto;Precio;Cantidad_Vendida
Mouse 2025;4876.59;106
Teclado Ultra;4638.11;106
Teclado Standard;4317.32;100
Proyector 2025;3880.40;98
Mouse v3.0;2618.95;86
Disco Duro Lite;4254.88;84
Cámara Web 2024;2262.61;80
Cargador Premium;785.50;78
Laptop Mini;760.12;60
Auriculares Mini;4034.50;59
Cargador Standard;1688.64;58
Monitor Premium;1873.82;55
Smartphone Pro;2919.53;52
Router 2024;595.75;51
Cámara Web 2024;2073.49;47
Teclado Pro;4210.82;41
Mousepad Pro;4632.47;38
Webcam Plus;1688.00;35
Teclado v2.0;455.02;34
Mouse Lite;3634.05;34
Laptop v3.0;1154.54;30
Proyector 2024;4246.80;27
Cargador Lite;2296.92;27
Adaptador Standard;4129.92;0
Impresora Premium;537.18;0
